City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Praia,CV,2022-01-06 04:56:26,14.9215,-23.5087,72.14,83,0,17.27
68,Hobart,AU,2022-01-06 04:56:17,-42.8794,147.3294,63.23,89,90,6.91
69,Cockburn Town,TC,2022-01-06 04:56:27,21.4612,-71.1419,78.84,71,2,15.43
70,Hilo,US,2022-01-06 04:56:28,19.7297,-155.09,76.73,86,75,5.75
71,Muros,ES,2022-01-06 04:56:28,42.7762,-9.0603,49.98,96,88,4.07
72,Tasiilaq,GL,2022-01-06 04:56:29,65.6145,-37.6368,31.91,89,100,34.85
73,Kruisfontein,ZA,2022-01-06 04:56:30,-34.0033,24.7314,64.89,75,70,12.77
74,Butaritari,KI,2022-01-06 04:56:31,3.0707,172.7902,82.15,76,98,14.72
75,Cherskiy,RU,2022-01-06 04:56:32,68.75,161.3,-14.35,100,100,1.3
76,Ayr,GB,2022-01-06 04:56:33,55.4627,-4.6339,38.5,80,75,8.05
77,Dawei,MM,2022-01-06 04:56:33,14.0833,98.2,89.33,41,59,4.38
78,Meulaboh,ID,2022-01-06 04:56:35,4.1363,96.1285,84.72,68,65,1.43
79,Vestmannaeyjar,IS,2022-01-06 04:56:36,63.4427,-20.2734,42.57,78,100,40.09
80,Husavik,IS,2022-01-06 04:56:36,66.0449,-17.3389,40.91,77,100,35.97
81,Atar,MR,2022-01-06 04:56:37,20.5169,-13.0499,60.66,26,83,8.84
82,Minbu,MM,2022-01-06 04:56:38,20.1833,94.8833,78.73,41,82,5.17
83,Faanui,PF,2022-01-06 04:56:39,-16.4833,-151.75,82.04,68,67,4.97
84,New Norfolk,AU,2022-01-06 04:56:40,-42.7826,147.0587,62.89,78,100,1.01
85,Yumen,CN,2022-01-06 04:56:41,40.2833,97.2,25.7,35,0,17.56
86,Rivera,UY,2022-01-06 04:57:42,-30.9053,-55.5508,59.68,72,0,9.82
87,Nanortalik,GL,2022-01-06 04:57:42,60.1432,-45.2371,23.9,71,100,38.05
88,Araguari,BR,2022-01-06 04:57:43,-18.6472,-48.1872,70.09,96,100,2.64
89,Port Elizabeth,ZA,2022-01-06 04:55:48,-33.918,25.5701,67.1,77,40,6.91
90,Atuona,PF,2022-01-06 04:57:44,-9.8,-139.0333,78.87,71,89,14.92
91,Klaksvik,FO,2022-01-06 04:57:45,62.2266,-6.589,38.32,74,100,34.63
92,Omboue,GA,2022-01-06 04:57:45,-1.5746,9.2618,75.99,93,99,4.25
93,Deputatskiy,RU,2022-01-06 04:57:46,69.3,139.9,-26.66,93,82,3.76
94,Egvekinot,RU,2022-01-06 04:57:46,66.3167,-179.1667,18.28,69,62,8.3
95,Castro,BR,2022-01-06 04:53:38,-24.7911,-50.0119,61.75,98,15,3.85
96,Luanda,AO,2022-01-06 04:56:37,-8.8368,13.2343,75.2,88,40,3.44
97,Bom Jardim,BR,2022-01-06 04:57:47,-7.7958,-35.5872,73.74,93,41,2.35
98,Broome,US,2022-01-06 04:57:47,42.2506,-75.833,38.66,70,97,4.0
99,Tuatapere,NZ,2022-01-06 04:57:48,-46.1333,167.6833,55.81,58,81,9.24
100,Dongsheng,CN,2022-01-06 04:57:48,39.8161,109.9776,27.48,62,84,5.01
101,Victor Harbor,AU,2022-01-06 04:57:49,-35.5667,138.6167,73.8,82,56,1.01
102,Segamat,MY,2022-01-06 04:57:49,2.5148,102.8158,87.62,57,60,7.78
103,Jamestown,US,2022-01-06 04:52:55,42.097,-79.2353,26.24,51,90,18.99
104,Aklavik,CA,2022-01-06 04:57:50,68.2191,-135.0107,7.52,93,100,2.06
105,Talnakh,RU,2022-01-06 04:57:50,69.4865,88.3972,-12.8,87,100,12.26
106,Busselton,AU,2022-01-06 04:57:50,-33.65,115.3333,94.08,35,0,10.36
107,Chuy,UY,2022-01-06 04:57:51,-33.6971,-53.4616,64.92,61,14,8.48
108,Hamilton,US,2022-01-06 04:57:51,39.1834,-84.5333,27.03,69,73,5.99
109,Potsdam,DE,2022-01-06 04:57:52,52.3989,13.0657,35.06,74,72,4.0
110,Sirnak,TR,2022-01-06 04:57:52,37.5228,42.4594,28.53,58,2,4.92
111,Pangoa,PE,2022-01-06 04:57:53,-12.1167,-73.0,69.46,92,100,3.22
112,Cairns,AU,2022-01-06 04:57:53,-16.9167,145.7667,99.07,63,34,9.22
113,Dzilam Gonzalez,MX,2022-01-06 04:57:53,21.2833,-88.9333,70.43,90,98,5.66
114,Pestravka,RU,2022-01-06 04:57:54,52.405,49.9583,20.91,94,100,14.47
115,Saint-Philippe,RE,2022-01-06 04:57:54,-21.3585,55.7679,83.79,77,100,2.95
116,Vila Franca Do Campo,PT,2022-01-06 04:57:55,37.7167,-25.4333,61.21,91,87,5.93
117,Bereda,ES,2022-01-06 04:57:55,43.2686,-7.5406,48.0,100,91,1.59
118,Mareeba,AU,2022-01-06 04:57:56,-17.0,145.4333,94.44,57,71,0.65
119,Sept-Iles,CA,2022-01-06 04:53:47,50.2001,-66.3821,11.05,85,90,1.01
120,Bajos De Haina,DO,2022-01-06 04:57:57,18.4154,-70.0332,74.21,90,10,7.11
121,Halesowen,GB,2022-01-06 04:57:57,52.4486,-2.0494,33.96,92,5,5.39
122,Musoma,TZ,2022-01-06 04:54:15,-1.5,33.8,68.02,88,75,0.0
123,Touros,BR,2022-01-06 04:57:58,-5.1989,-35.4608,79.7,83,100,7.63
124,Port Alfred,ZA,2022-01-06 04:57:58,-33.5906,26.891,68.13,79,96,14.83
125,Anadyr,RU,2022-01-06 04:57:59,64.75,177.4833,5.5,85,0,6.71
126,Griffith,US,2022-01-06 04:57:59,41.5284,-87.4237,12.88,75,75,1.99
127,Papara,BR,2022-01-06 04:57:59,-3.9839,-38.7273,79.68,96,69,2.3
128,Fereydunshahr,IR,2022-01-06 04:58:00,32.941,50.121,18.39,34,3,1.19
129,Oranjemund,NA,2022-01-06 04:58:00,-28.55,16.4333,64.22,82,89,11.52
130,Sheksna,RU,2022-01-06 04:58:01,59.21,38.5107,19.36,96,100,7.29
131,Port Augusta,AU,2022-01-06 04:58:01,-32.5,137.7667,77.7,50,95,17.72
132,Saldanha,ZA,2022-01-06 04:59:02,-33.0117,17.9442,57.25,81,51,1.61
133,Saint George,US,2022-01-06 04:58:05,37.1041,-113.5841,48.54,60,33,1.88
134,Qaqortoq,GL,2022-01-06 04:59:04,60.7167,-46.0333,20.39,75,100,32.48
135,Manado,ID,2022-01-06 04:59:04,1.487,124.8455,84.97,79,40,4.61
136,Balyaga,RU,2022-01-06 04:59:05,51.1507,108.921,12.97,75,46,2.33
137,Torbay,CA,2022-01-06 04:59:06,47.6666,-52.7314,37.27,86,75,16.11
138,Carnarvon,AU,2022-01-06 04:59:06,-24.8667,113.6333,89.67,55,0,14.97
139,Olafsvik,IS,2022-01-06 04:59:07,64.8945,-23.7142,40.75,81,100,47.65
140,Mehamn,NO,2022-01-06 04:59:07,71.0357,27.8492,30.38,69,100,29.42
141,Kikugawa,JP,2022-01-06 04:59:07,34.7563,138.0874,41.77,100,75,2.3
142,Soyo,AO,2022-01-06 04:59:08,-6.1349,12.3689,77.67,86,100,5.97
143,Ha Giang,VN,2022-01-06 04:59:08,22.8333,104.9833,74.05,65,84,3.83
144,Kinna,SE,2022-01-06 04:59:09,57.5073,12.6946,24.24,69,1,6.38
145,Sandorfalva,HU,2022-01-06 04:59:09,46.3609,20.0989,40.14,72,100,13.91
146,Bredasdorp,ZA,2022-01-06 04:59:10,-34.5322,20.0403,66.27,77,36,10.36
147,Belmonte,BR,2022-01-06 04:59:10,-15.8631,-38.8828,75.7,86,99,9.17
148,Starachowice,PL,2022-01-06 04:59:11,51.0374,21.0713,37.65,84,100,14.16
149,Bagdarin,RU,2022-01-06 04:59:11,54.4333,113.6,6.62,84,92,1.5
150,Khatanga,RU,2022-01-06 04:59:11,71.9667,102.5,-11.63,100,98,1.74
151,Flinders,AU,2022-01-06 04:59:12,-34.5833,150.8552,80.2,77,65,15.35
